timestamp,value
2024-01-01T00:00:00Z,23.5
2024-01-01T00:00:10Z,23.7
2024-01-01T00:00:20Z,23.6
2024-01-01T00:00:30Z,23.8
2024-01-01T00:00:40Z,24.0
2024-01-01T00:00:50Z,24.2
2024-01-01T00:01:00Z,24.1
2024-01-01T00:01:10Z,24.3
2024-01-01T00:01:20Z,24.5
2024-01-01T00:01:30Z,24.4
2024-01-01T00:01:40Z,24.6
2024-01-01T00:01:50Z,24.8
2024-01-01T00:02:00Z,24.7
2024-01-01T00:02:10Z,24.9
2024-01-01T00:02:20Z,25.1
2024-01-01T00:02:30Z,25.0
2024-01-01T00:02:40Z,25.2
2024-01-01T00:02:50Z,25.4
2024-01-01T00:03:00Z,25.3
2024-01-01T00:03:10Z,25.5
2024-01-01T00:03:20Z,25.7
2024-01-01T00:03:30Z,25.6
2024-01-01T00:03:40Z,25.8
2024-01-01T00:03:50Z,26.0
2024-01-01T00:04:00Z,25.9
2024-01-01T00:04:10Z,26.1
2024-01-01T00:04:20Z,26.3
2024-01-01T00:04:30Z,26.2
2024-01-01T00:04:40Z,26.4
2024-01-01T00:04:50Z,26.6
2024-01-01T00:05:00Z,26.5
2024-01-01T00:05:10Z,26.7
2024-01-01T00:05:20Z,26.9
2024-01-01T00:05:30Z,26.8
2024-01-01T00:05:40Z,27.0
2024-01-01T00:05:50Z,27.2
2024-01-01T00:06:00Z,27.1
2024-01-01T00:06:10Z,27.3
2024-01-01T00:06:20Z,27.5
2024-01-01T00:06:30Z,27.4
2024-01-01T00:06:40Z,27.6
2024-01-01T00:06:50Z,27.8
2024-01-01T00:07:00Z,27.7
2024-01-01T00:07:10Z,27.9
2024-01-01T00:07:20Z,28.1
2024-01-01T00:07:30Z,28.0
2024-01-01T00:07:40Z,28.2
2024-01-01T00:07:50Z,28.4
2024-01-01T00:08:00Z,28.3
2024-01-01T00:08:10Z,28.5
