timestamp,sensor_id,value
2024-01-01T00:00:00Z,grid_01,245.3
2024-01-01T00:00:00Z,grid_02,312.1
2024-01-01T00:01:00Z,grid_01,248.7
2024-01-01T00:01:00Z,grid_02,315.4
2024-01-01T00:02:00Z,grid_01,251.2
2024-01-01T00:02:00Z,grid_02,318.9
2024-01-01T00:03:00Z,grid_01,254.8
2024-01-01T00:03:00Z,grid_02,322.3
2024-01-01T00:04:00Z,grid_01,258.3
2024-01-01T00:04:00Z,grid_02,325.7
2024-01-01T00:05:00Z,grid_01,261.9
2024-01-01T00:05:00Z,grid_02,329.2
2024-01-01T00:06:00Z,grid_01,265.4
2024-01-01T00:06:00Z,grid_02,332.8
2024-01-01T00:07:00Z,grid_01,268.9
2024-01-01T00:07:00Z,grid_02,336.4
2024-01-01T00:08:00Z,grid_01,272.5
2024-01-01T00:08:00Z,grid_02,340.1
2024-01-01T00:09:00Z,grid_01,276.1
2024-01-01T00:09:00Z,grid_02,343.8
2024-01-01T00:10:00Z,grid_01,279.6
2024-01-01T00:10:00Z,grid_02,347.5
