timestamp,value
2024-02-01T10:00:00Z,2.3
2024-02-01T10:00:05Z,2.5
2024-02-01T10:00:12Z,2.4
2024-02-01T10:00:18Z,2.6
2024-02-01T10:00:30Z,2.7
2024-02-01T10:00:35Z,2.5
2024-02-01T10:00:43Z,2.8
2024-02-01T10:00:55Z,2.9
2024-02-01T10:01:00Z,2.7
2024-02-01T10:01:08Z,3.0
2024-02-01T10:01:20Z,3.1
2024-02-01T10:01:25Z,2.9
2024-02-01T10:01:38Z,3.2
2024-02-01T10:01:50Z,3.3
2024-02-01T10:02:00Z,3.1
2024-02-01T10:02:07Z,3.4
2024-02-01T10:02:22Z,3.5
2024-02-01T10:02:30Z,3.3
2024-02-01T10:02:45Z,3.6
2024-02-01T10:03:00Z,3.7
2024-02-01T10:03:10Z,3.5
2024-02-01T10:03:28Z,3.8
2024-02-01T10:03:40Z,3.9
2024-02-01T10:03:55Z,3.7
2024-02-01T10:04:05Z,4.0
2024-02-01T10:04:20Z,4.1
2024-02-01T10:04:35Z,3.9
2024-02-01T10:04:48Z,4.2
2024-02-01T10:05:00Z,4.3
2024-02-01T10:05:15Z,4.1
2024-02-01T10:05:32Z,4.4
2024-02-01T10:05:50Z,4.5
2024-02-01T10:06:05Z,4.3
2024-02-01T10:06:18Z,4.6
2024-02-01T10:06:40Z,4.7
2024-02-01T10:07:00Z,4.5
2024-02-01T10:07:12Z,4.8
2024-02-01T10:07:35Z,4.9
2024-02-01T10:07:55Z,4.7
2024-02-01T10:08:10Z,5.0
