timestamp,value
2024-02-01T06:00:00Z,45.2
2024-02-01T06:15:00Z,45.8
2024-02-01T06:30:00Z,46.3
2024-02-01T06:45:00Z,46.9
2024-02-01T07:00:00Z,47.4
2024-02-01T07:30:00Z,48.5
2024-02-01T07:45:00Z,49.1
2024-02-01T08:00:00Z,49.6
2024-02-01T08:15:00Z,50.2
2024-02-01T08:30:00Z,50.7
2024-02-01T09:00:00Z,51.8
2024-02-01T09:15:00Z,52.3
2024-02-01T09:30:00Z,52.9
2024-02-01T09:45:00Z,53.4
2024-02-01T10:00:00Z,54.0
2024-02-01T10:15:00Z,54.5
2024-02-01T10:30:00Z,55.1
2024-02-01T11:00:00Z,56.2
2024-02-01T11:15:00Z,56.7
2024-02-01T11:30:00Z,57.3
2024-02-01T11:45:00Z,57.8
2024-02-01T12:00:00Z,58.4
2024-02-01T12:30:00Z,59.5
2024-02-01T12:45:00Z,60.0
2024-02-01T13:00:00Z,60.6
2024-02-01T13:15:00Z,61.1
2024-02-01T13:30:00Z,61.7
2024-02-01T13:45:00Z,62.2
2024-02-01T14:00:00Z,62.8
2024-02-01T14:15:00Z,63.3
2024-02-01T14:45:00Z,64.4
2024-02-01T15:00:00Z,65.0
2024-02-01T15:15:00Z,65.5
2024-02-01T15:30:00Z,66.1
2024-02-01T15:45:00Z,66.6
2024-02-01T16:00:00Z,67.2
2024-02-01T16:15:00Z,67.7
2024-02-01T16:30:00Z,68.3
2024-02-01T17:00:00Z,69.4
2024-02-01T17:15:00Z,69.9
2024-02-01T17:30:00Z,70.5
2024-02-01T17:45:00Z,71.0
2024-02-01T18:00:00Z,71.6
