timestamp,value
1706774400,125.3
1706774460,127.8
1706774520,130.2
1706774580,132.6
1706774640,135.1
1706774700,137.5
1706774760,139.9
1706774820,142.3
1706774880,144.8
1706774940,147.2
1706775000,149.6
1706775060,152.0
1706775120,154.5
1706775180,156.9
1706775240,159.3
1706775300,161.7
1706775360,164.2
1706775420,166.6
1706775480,169.0
1706775540,171.4
1706775600,173.9
1706775660,176.3
1706775720,178.7
1706775780,181.1
1706775840,183.6
1706775900,186.0
1706775960,188.4
1706776020,190.8
1706776080,193.3
1706776140,195.7
1706776200,198.1
1706776260,200.5
1706776320,203.0
1706776380,205.4
1706776440,207.8
1706776500,210.2
1706776560,212.7
1706776620,215.1
1706776680,217.5
1706776740,219.9
1706776800,222.4
1706776860,224.8
1706776920,227.2
1706776980,229.6
1706777040,232.1
1706777100,234.5
1706777160,236.9
1706777220,239.3
1706777280,241.8
1706777340,244.2
